OBJECTID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Length,Shape_Area
5,48,459,01384015,0500000US48459,48459,Upshur,06,1509910100,24878888,1.568901423,0.146995533
6,48,49,01383810,0500000US48049,48049,Brown,06,2446120250,32375524,1.98730054,0.234490626
10,46,55,01266988,0500000US46055,46055,Haakon,06,4689282658,42449843,3.301248284,0.533875405
13,19,83,00465230,0500000US19083,19083,Hardin,06,1474505075,1776735,1.64059667,0.160815009
14,20,133,00485030,0500000US20133,20133,Neosho,06,1480111173,16369480,1.572207585,0.15253611
15,31,133,00835888,0500000US31133,31133,Pawnee,06,1116478182,4852361,1.428520173,0.118458897
17,29,175,00758542,0500000US29175,29175,Randolph,06,1250217892,13254191,1.442614776,0.132159842
22,48,21,01383796,0500000US48021,48021,Bastrop,06,2300370292,19079348,1.830465558,0.216961419
23,55,113,01581116,0500000US55113,55113,Sawyer,06,3257216619,239883874,2.772868955,0.406381038
24,48,233,01383902,0500000US48233,48233,Hutchinson,06,2298408152,19507502,1.935853375,0.231380907
25,55,31,01581075,0500000US55031,55031,Douglas,06,3378102266,454243357,2.639809822,0.40680412
26,48,95,01383833,0500000US48095,48095,Concho,06,2547914009,25740025,1.978149862,0.243005402
30,27,5,00659448,0500000US27005,27005,Becker,06,3406054658,336952350,2.905833018,0.440287484
31,40,77,01101826,0500000US40077,40077,Latimer,06,1870096895,18296988,1.921411751,0.186400249
32,22,73,00558114,0500000US22073,22073,Ouachita,15,1580920629,55305574,1.628921704,0.15708005
36,20,75,00485327,0500000US20075,20075,Hamilton,06,2580958328,2893322,2.069341821,0.263865401
40,40,25,01101800,0500000US40025,40025,Cimarron,06,4752113916,15923999,2.936970045,0.481456344
41,38,19,01035304,0500000US38019,38019,Cavalier,06,3856393937,54384493,3.036900353,0.476199123
42,38,95,01034213,0500000US38095,38095,Towner,06,2653593197,43823568,2.368032898,0.329563431
43,5,145,00069906,0500000US05145,05145,White,06,2680852090,18293048,2.458187531,0.263609412
47,19,141,00465259,0500000US19141,19141,O'Brien,06,1484154162,447448,1.638840096,0.163913103
48,20,123,00485026,0500000US20123,20123,Mitchell,06,1817632933,44979980,1.81164724,0.194469353
52,31,135,00835889,0500000US31135,31135,Perkins,06,2287828025,2840176,2.217720442,0.245620263
53,20,189,00485056,0500000US20189,20189,Stevens,06,1883595654,464936,1.760583723,0.19131737
54,46,105,01266990,0500000US46105,46105,Perkins,06,7434503230,50539948,3.710717526,0.861642838
60,19,81,00465229,0500000US19081,19081,Hancock,06,1478895049,5265568,1.639956343,0.164157222
63,27,9,00659450,0500000US27009,27009,Benton,06,1057483355,12286988,1.611088106,0.121204233
64,27,7,00659449,0500000US27007,27007,Beltrami,06,6487155243,1426286994,4.609366696,0.950910533
79,19,19,00465199,0500000US19019,19019,Buchanan,06,1479085972,5223780,1.635798372,0.161060105
81,27,97,00659494,0500000US27097,27097,Morrison,06,2913980720,73275534,3.019525929,0.345326947
83,5,59,00066859,0500000US05059,05059,Hot Spring,06,1593380758,18038344,2.057790087,0.156394962
86,20,155,00485041,0500000US20155,20155,Reno,06,3251786677,42963060,2.41852584,0.334690153
87,31,151,00835897,0500000US31151,31151,Saline,06,1486812299,5821039,1.604170463,0.158579884
88,29,27,00758468,0500000US29027,29027,Callaway,06,2161515126,33192502,1.930301955,0.224404175
91,40,11,01101793,0500000US40011,40011,Blaine,06,2404605814,26851760,2.071890207,0.242226158
